journal_abbrev,oldest_PMID,newest_PMID,random_PMID,FindIt_coverage
Adv Gerontol,38180375,38180375,38180361,False
Neurol Clin Neurophysiol,17139393,17139393,16012683,False
J HIV Ther,N/A,N/A,N/A,True
J Appl Clin Med Phys,38897187,38897187,38546277,False
Proteomics,N/A,N/A,N/A,True
J Esthet Restor Dent,38867494,38867494,38837612,False
Best Pract Res Clin Endocrinol Metab,38845246,38845246,36008276,False
Best Pract Res Clin Haematol,N/A,N/A,N/A,True
Best Pract Res Clin Rheumatol,N/A,N/A,N/A,True
Best Pract Res Clin Obstet Gynaecol,38910100,38910100,37541113,False
Curr Dir Autoimmun,20173395,20173395,16394652,False
Nano Lett,38916238,38916238,38885645,False
Asp Appl Biol,22319070,22319070,22319070,False
Adv Radiat Biol,11537895,11537895,11537507,False
Stud Psychol (Bratisl),11540714,11540714,11540714,False
Nutr Today,37588673,37588673,12813189,False
Utah Sci,11540892,11540892,11540892,False
Am Biol Teach,37799981,37799981,29610538,False
Spectrochim Acta A,11540858,11540858,11540858,False
Radioprotection,11538207,11538207,11538206,False
J Mol Struct,38312219,38312219,35369609,False
J Creat Behav,38698795,38698795,24532853,False
J Hist Biol,38717524,38717524,37219802,False
Int J Man Mach Stud,11541076,11541076,11541076,False
Appl Opt,38856630,38856630,38856544,False
Phys Rev A Gen Phys,9906580,9906580,9920588,False
Lab Med,38916138,38916138,38142129,False
Radiat Eff,11539072,11539072,11539072,False
Recherche,11542869,11542869,11542869,False
J Interdiscipl Cycle Res,11537549,11537549,11539080,False
Photosynthetica,32214602,32214602,32214602,False
Spaceflight (Lond),11538096,11538096,11538096,False
Can Rev Sociol Anthropol,17644998,17644998,11630485,False
Environ Behav,34456340,34456340,11542944,False
Chem Scr,30260338,30260338,11542054,False
Acta Vet Brno,14631942,14631942,12807137,False
Folia Vet,11543304,11543304,11543304,False
J Cross Cult Psychol,38766627,38766627,30100622,False
Mar Behav Physiol,11539849,11539849,11539849,False
Aust J Physiother,N/A,N/A,N/A,True
Annu Rev Plant Physiol,11538459,11538459,11540829,False
Appl Spectrosc,38881287,38881287,38373401,False
Can J Chem,38550267,38550267,14821853,False
Can J Phys,11543222,11543222,11539672,False
Chimia (Aarau),38822779,38822779,38069790,False
Naturwiss Rundsch,11541778,11541778,14028496,False
Sciences (New York),16124133,16124133,11657161,False
Phys Lett A,33299265,33299265,28690361,False
Prog Surf Sci,11541752,11541752,11541752,False
Eur Heart J Suppl,38867879,38867879,37213798,False
Mon Not R Astron Soc,38779061,38779061,27559304,False
Acta Univ Agric Fac Agron,11540939,11540939,11634457,False
Chron Horticult,11538379,11538379,11620137,False
Int J Hist Sport,29170603,29170603,21812160,False
Aeronaut Astronaut,11539863,11539863,11539863,False
Trans ASAE,14674430,14674430,14552353,False
J Math Chem,37360905,37360905,32214591,False
Space Policy,32834336,32834336,11542222,False
Exec Intell Rev,11539767,11539767,11539767,False
Tellus B Chem Phys Meteorol,32848290,32848290,11541521,False
Biotronics,11537744,11537744,11539822,False
Geobios Mem Spec,11541286,11541286,11541286,False
AIAA Stud J,11541092,11541092,11541092,False
Precambrian Res,11577752,11577752,11539566,False
Air Line Pilot,11539348,11539348,11537647,False
Sci Geol Mem,11539119,11539119,11539119,False
Am Potato J,11543354,11543354,11543354,False
Astron Astrophys,35034966,35034966,34334798,False
J Br Interplanet Soc,15856559,15856559,11540235,False
Can Aeronaut Space J,11541909,11541909,11541954,False
Can J Earth Sci,11542012,11542012,11542012,False
Clay Miner,11542170,11542170,11542170,False
Clays Clay Miner,34785820,34785820,11541959,False
Commun Soil Sci Plant Anal,30930464,30930464,26893527,False
Comput Phys Commun,38737416,38737416,21057598,False
Z Flugwiss Weltraumforsch,11540715,11540715,11540715,False
Jpn J Crop Sci,11541202,11541202,11541202,False
Int J Hydrogen Energy,35990585,35990585,32863546,False
Econ Geol,11538478,11538478,11539027,False
Astron Astrophys Suppl Ser,29371750,29371750,32753777,False
J Bryol,11541550,11541550,11541550,False
ESA Bull,16134285,16134285,11541438,False
Math Comput Simul,36994146,36994146,26612967,False
ESA J,11541451,11541451,11541450,False
Earth Planet Sci Lett,33390609,33390609,11539442,False
Explor J,11542065,11542065,11542065,False
Geochem J,11542117,11542117,11542117,False
Geol Soc Am Bull,33958812,33958812,11538391,False
Catena Suppl,11542236,11542236,11542236,False
J Geol Soc London,11541234,11541234,11539792,False
J Electr Electron Eng Aust,11540609,11540609,11540609,False
Geol Rundsch,11543126,11543126,11543126,False
Proc Geol Assoc,32836332,32836332,11543127,False
Geotimes,11541188,11541188,11538501,False
ICAO J,11541837,11541837,11541832,False
Plant Breed Rev,11543586,11543586,11543586,False
Int J Impact Eng,11539565,11539565,11539565,False
Aerosp Eng,11540717,11540717,11539595,False
Planet Rep,11539584,11539584,11539059,False
Infrared Phys,11539754,11539754,11539754,False
Aerosp Am,16136715,16136715,11539588,False
J Cryst Growth,37193265,37193265,19079557,False
Polar Res,28490834,28490834,28490834,False
J Dyn Syst Meas Control,34334808,34334808,32280137,False
Stratigr Geol Correl,11539429,11539429,11539429,False
Palaios,12866547,12866547,11539334,False
J Fluid Mech,38774672,38774672,31558848,False
J Sediment Petrol,11539432,11539432,11542110,False
J Spacecr Rockets,33479548,33479548,11542301,False
Meteoritics,11539134,11539134,11538410,False
Earth Miner Sci,11538070,11538070,11538070,False
Mineral Mag,11539554,11539554,11539554,False
Natl Widl,11542304,11542304,11542304,False
Palaeogeogr Palaeoclimatol Palaeoecol,34764513,34764513,32934423,False
Phyton (B Aires),11540805,11540805,11540805,False
Polarforschung,11538357,11538357,11538356,False
Polymer Prepr,27057068,27057068,11541910,False
Radiocarbon,36936187,36936187,22228915,False
J R Astron Soc Can,11540166,11540166,11540166,False
J R Soc West Aust,11541325,11541325,11541325,False
Sb Nar Muz Praze Rada B,11541230,11541230,11541230,False
Sky Telescope,11541248,11541248,11541248,False
S D Farm Home Res,11539862,11539862,11539862,False
Space Sci Rev,38899030,38899030,33328695,False
Space World,11539064,11539064,11539064,False
Sterne Weltraum,11542965,11542965,11542965,False
Transp Theory Stat Phys,11539101,11539101,11539101,False
Adv Cryog Eng,11543366,11543366,11543366,False
Annu Rev Earth Planet Sci,33380754,33380754,26778863,False
Astronomy,11540045,11540045,11540045,False
Geology,32440031,32440031,11538267,False
Mater Perform,11540161,11540161,11540161,False
Eos (Washington DC),30713360,30713360,11538673,False
Ind Rob,28203034,28203034,28203034,False
Org Geochem,29743757,29743757,11541747,False
J Geophys Res,24307747,24307747,11539489,False
Contrib Biol Geol,11542296,11542296,11542296,False
Hortic Rev (Am Soc Hortic Sci),11541841,11541841,11539689,False
Nucl Eng Des/Fusion,11538842,11538842,11538842,False
Earth Moon Planets,32269395,32269395,11539206,False
Luft Raumfahrt,11542964,11542964,11542964,False
J Plant Nutr,11594364,11594364,11538369,False
SAFE J,11820186,11820186,11539918,False
Int J Infrared Millimeter Waves,19081774,19081774,19081774,False
Int J Mod Phys A,11537172,11537172,11537172,False
Int J Bifurcat Chaos,24659846,24659846,17898863,False
Fractals,11539281,11539281,11539281,False
J Korean Astron Soc,11539481,11539481,11539481,False
Presence (Camb),24348003,24348003,11540645,False
Earth (Waukesha),11541839,11541839,11542395,False
Earth Space Rev,11676443,11676443,11539932,False
Eur Rev,11539838,11539838,11539838,False
Compost Sci Util,11541065,11541065,11541065,False
Bostonia,11542099,11542099,11542099,False
J Sediment Res A Sediment Petrol Process,11758565,11758565,11758565,False
Va Explor,11542192,11542192,11542192,False
Meteorit Planet Sci,37082523,37082523,35912284,False
IEEE Instrum Meas Mag,34248348,34248348,34248348,False
IEEE Trans Syst Man Cybern C Appl Rev,22661884,22661884,22661884,False
AGSO J Aust Geol Geophys,11541252,11541252,11541252,False
Microgravity Q,11541326,11541326,11537105,False
Chaos Solitons Fractals,38620099,38620099,35844899,False
South Afr J Geol,11538702,11538702,11538702,False
Earth Space,11538711,11538711,11538711,False
Ad Astra,11539459,11539459,11539593,False
IEEE Trans Rob Autom,22287831,22287831,11539290,False
PGRSA Q,11537753,11537753,11537753,False
GSA Today,11541665,11541665,11540252,False
Chaos,38888984,38888984,38865094,False
J Nat Hist Mus Inst Chiba,11541730,11541730,11541730,False
Glob Planet Change,25844022,25844022,25844021,False
Air Space,11541500,11541500,11540537,False
Rob Auton Syst,36570412,36570412,34629751,False
Global Biogeochem Cycles,38439941,38439941,11540616,False
Space Commun,11540154,11540154,11540154,False
Z Phys A At Nucl,11538826,11538826,11538826,False
Appl Micrograv Technol,11537760,11537760,11537760,False
DLR Nachr,11542970,11542970,11542968,False
Space Technol,12807141,12807141,12807141,False
Microgravity Sci Technol,35308643,35308643,11541484,False
Interact Comput,32801481,32801481,20628581,False
J Aerosp Eng,11537646,11537646,11543563,False
J Phys G Nucl Part Phys,11542267,11542267,11537102,False
21st Century Sci Technol,11539083,11539083,11539083,False
Math Comput Model,21076663,21076663,23015763,False
Flight Saf Dig,11537902,11537902,11537902,False
Proc NIPR Symp Antarct Meteorites,11542910,11542910,11542910,False
Energy Fuels,38863686,38863686,35422575,False
Astrophys Lett Commun,11539286,11539286,11538461,False
Isot Geosci,11538336,11538336,11542038,False
Biol Sci Space,20729992,20729992,15136757,False
Deep Sea Res A,11542177,11542177,11542177,False
Life Sci Adv,11538406,11538406,11538405,False
Arch Hydrobiol Suppl Algol Stud,11542139,11542139,11542139,False
Whole Earth Rev,11542102,11542102,11542102,False
Am Assoc Pet Geol Bull,11542070,11542070,11542070,False
Ill Res,11540414,11540414,11540414,False
Rev Esp Paleontol,11542144,11542144,11542144,False
Nuovo Cimento C,11541732,11541732,11541732,False
Town Hall J,11542137,11542137,11542137,False
Anthroquest,11542113,11542113,11542113,False
Palaeontology,37533696,37533696,37533696,False
Neues Jahrb Geol Palaontol Abh,11539427,11539427,11539427,False
IAWA J,11542470,11542470,11542470,False
J Phys D Appl Phys,38800708,38800708,32831402,False
J Aerosol Sci,38751612,38751612,33012843,False
Phyton,26877565,26877565,11543427,False
Nucl Technol,34853484,34853484,11540866,False
Am Lab,18449338,18449338,16520831,False
J Ir Coll Physicians Surg,14674441,14674441,11608999,False
Annu Rev Ecol Syst,11543275,11543275,11541187,False
ASM News,11542954,11542954,11542954,False
Am J Sci,11543500,11543500,11538690,False
Bot Rev,36506282,36506282,25972616,False
Food Technol,11542675,11542675,11541072,False
Nat Hist,28659649,28659649,11541840,False
Nichidai Igaku Zasshi,11868574,11868574,30260326,False
J Wash Acad Sci,34194119,34194119,34194119,False
Talanta,N/A,N/A,N/A,True
J Appl Phys,38681528,38681528,34103765,False
Jpn Psychol Res,35599957,35599957,29681650,False
Kidney,11538850,11538850,11538850,False
Water Resour Res,38440781,38440781,33041380,False
Comput Cardiol,20622925,20622925,11542025,False
J Am Water Works Assoc,37539352,37539352,29416142,False
Philos Trans R Soc Lond A,11539065,11539065,11539065,False
Prog Colloid Polym Sci,11541167,11541167,11541167,False
Prog Psychobiol Physiol Psychol,11539167,11539167,11539167,False
Int J Sport Psychol,11542277,11542277,11542277,False
Primary Cardiol,11541912,11541912,11541912,False
Opt Lett,38875663,38875663,38824373,False
J Food Qual,11539875,11539875,32336837,False
Nouv J Chim,11543609,11543609,11543609,False
Dtsch Z Sportmed,36479178,36479178,11540585,False
HRC CC J High Resolut Chromatogr Chromatogr Commun,11537648,11537648,11537648,False
Pers Soc Psychol Bull,38910549,38910549,38468397,False
Stal,11542868,11542868,11542868,False
Pol J Chem,11542255,11542255,11542255,False
J Behav Assess,11540862,11540862,11540862,False
Science (1979),11653691,11653691,11649439,False
Cardiovasc Rev Rep,11539066,11539066,11539066,False
J Respir Dis,20046814,20046814,20046814,False
Pers Individ Dif,38882675,38882675,37008556,False
Trans R Soc Edinb Earth Sci,11540085,11540085,11540085,False
Pract Gastroenterol,34707325,34707325,29731535,False
Clin Hemorheol,11540598,11540598,11540598,False
J Environ Psychol,38222971,38222971,35664454,False
Tech Orthop (1976),11539273,11539273,11539273,False
Photonics Spectra,11541906,11541906,11541906,False
Sci Aliments,11538068,11538068,11538068,False
Behav Anal,31976959,31976959,31976948,False
Clin Res Pr Drug Regul Aff,11538042,11538042,11538042,False
Integr Psychiatry,11540104,11540104,11540104,False
J Tissue Cult Methods,11541102,11541102,32214596,False
C R Acad Sci Gen,11540497,11540497,11540497,False
Lens Res,11538999,11538999,11538999,False
Phys Lett B,32834431,32834431,32834431,False
NZ J Psychol,11543297,11543297,11543297,False
Neuroophthalmology,38756343,38756343,36798865,False
Emerg Med Rep,11537364,11537364,11537364,False
Stress Med,11542396,11542396,11542396,False
Environ Med,12666670,12666670,12296368,False
Comput Human Behav,38799787,38799787,34511715,False
J Appl Cardiol,11540157,11540157,11540157,False
Biol Sport,38524831,38524831,38524809,False
Soc Behav,11539068,11539068,11539068,False
LC GC,25267924,25267924,25267924,False
Biochem Arch,11541121,11541121,11541121,False
Sci Sports,38620146,38620146,36062208,False
Work Stress,35173354,35173354,27226677,False
Rev Int Serv Sante Forces Armees,11540658,11540658,11636834,False
J Bioact Compat Polym,37465414,37465414,24078768,False
SPUMS J,11542272,11542272,11542272,False
Appl Cogn Psychol,36250193,36250193,29610547,False
Trav Sci Cherch Serv Sante Armees,11543271,11543271,11539482,False
Int J Comp Psychol,26877586,26877586,25419047,False
Food Biotechnol,11540100,11540100,11539709,False
Curr Orthop,19956356,19956356,11537166,False
Heart Fail,11539207,11539207,11539207,False
Sens Syst,11540410,11540410,11540410,False
Int J Quantum Chem Quantum Biol Symp,11538107,11538107,11542037,False
J Res Natl Inst Stand Technol,36475089,36475089,38469450,False
J High Resolut Chromatogr,11538483,11538483,11538483,False
J NIH Res,11656802,11656802,11654602,False
Mil Psychol,38916868,38916868,37643329,False
BME,11538996,11538996,11538996,False
J Comput Assist Microsc,11537967,11537967,11537967,False
Meas Sci Technol,38205381,38205381,19672321,False
Curr Anaesth Crit Care,32288321,32288321,32288321,False
J Wilderness Med,11538296,11538296,11538296,False
J Mater Sci Mater Med,N/A,N/A,N/A,True
Curr Opin Orthop,17710194,17710194,11540472,False
Adv Myochem,11540914,11540914,11540913,False
Endocrinologist,22888197,22888197,22888197,False
J Back Musculoskelet Rehabil,38905033,38905033,38217580,False
Basic Appl Myol,21614134,21614134,26412965,False
Med Chem Res,38646411,38646411,37065467,False
Biomimetics,38786516,38786516,38667257,False
Phys Med,N/A,N/A,N/A,True
Oper Tech Sports Med,24072960,24072960,19578485,False
Boei Ika Daigakko Zasshi,11542720,11542720,11542720,False
Equilib Res,11543419,11543419,11543419,False
Jpn J Psychon Sci,20523762,20523762,11543362,False
Life Sci Adv Exp Clin Endocrinol,11539936,11539936,11539936,False
J Appl Biomech,38897577,38897577,36513076,False
Los Alamos Sci,11540905,11540905,11540905,False
J Strength Cond Res,N/A,N/A,N/A,True
J Cardiovasc Diagn Proced,11540473,11540473,11654296,False
Zhongguo Yao Xue Za Zhi,11543355,11543355,11543355,False
Uchu Koku Kankyo Igaku,12870462,12870462,12856695,False
Space Med Med Eng (Beijing),16224858,16224858,15852556,False
Eur Rev Appl Psychol,37360879,37360879,35136348,False
Isokinet Exerc Sci,24339479,24339479,11539546,False
Curr Sep,11540471,11540471,11540471,False
Life Support Biosph Sci,12503531,12503531,11542680,False
Biol Rhythm Res,35784395,35784395,35784395,False
Curr Psychol Cogn,11540554,11540554,11540552,False
J Gravit Physiol,18372740,18372740,16240522,False
J Am Psychiatr Nurses Assoc,38910436,38910436,38902999,False
J Environ Sci Health A Environ Sci Eng Toxic Hazard Subst Control,11540164,11540164,11540164,False
Am J Electroneurodiagnostic Technol,22303779,22303779,20073417,False
Rehabil Fyz Lek,11542967,11542967,11542966,False
Adv Neural Inf Process Syst,38867889,38867889,31871391,False
Sci Med (Phila),11757573,11757573,11540729,False
Minim Invasive Ther Allied Technol,38915259,38915259,37782336,False
Card Electrophysiol Rev,15071279,15071279,14618037,False
MITS Technol Rev,11541753,11541753,11541753,False
Neurosci News,12053888,12053888,12053888,False
Phlebolymphology,11540399,11540399,11540399,False
New Sci,37292184,37292184,34690399,False
Gravit Space Biol Bull,25143705,25143705,12959137,False
Antarct J US,11539461,11539461,11538332,False
Electrochim Acta,38881690,38881690,29970929,False
Geochim Cosmochim Acta,37928745,37928745,29628527,False
Int J Control,25382865,25382865,11541942,False
Jpn J Appl Phys,12959140,12959140,11542403,False
Mar Chem,38414838,38414838,26806999,False
Mech Eng,11539287,11539287,11539815,False
Mol Phys,38107421,38107421,32724265,False
Opt Commun,37396964,37396964,21057657,False
Phys Rep,36843637,36843637,11538046,False
IEEE Trans Acoust,11542136,11542136,11542136,False
J Comput Chem,N/A,N/A,N/A,True
Appl Polym Symp,11541999,11541999,11541999,False
AIChE J,38250665,38250665,33362289,False
Aviat Week Space Technol,15852559,15852559,11539272,False
Comput Graph (ACM),11539349,11539349,11539349,False
IEEE Trans Nucl Sci,38680514,38680514,32063651,False
J Audio Eng Soc,26441471,26441471,26441471,False
J Aircr,32476674,32476674,11543542,False
Nucl Sci Eng,36081766,36081766,36081766,False
Trans Am Nucl Soc,38505302,38505302,34248155,False
Flying Saf,11540877,11540877,11540877,False
Plant Cell Tissue Organ Cult,37197004,37197004,32836586,False
Nucl Tracks Radiat Meas,11543206,11543206,11543206,False
Biocycle,11540129,11540129,11540129,False
J Opt Soc Am B,36726861,36726861,36726861,False
Bot Gaz,11537089,11537089,11539712,False
C R Acad Sci II,12238517,12238517,12238517,False
Nucl Instrum Methods Phys Res B,37265512,37265512,25843996,False
Nucl Instrum Methods Phys Res A,38736647,38736647,22505789,False
Int J Rad Appl Instrum D,11537536,11537536,11537515,False
Alcohol Drugs Driving,11538713,11538713,11538713,False
Magn Reson Chem,N/A,N/A,N/A,True
Chem Phys Lett,N/A,N/A,N/A,True
Langmuir,38916446,38916446,38897601,False
Soil Sci,23439963,23439963,23439963,False
Ind Eng Chem Res,38911482,38911482,38356643,False
Agron J,36590757,36590757,11543523,False
Geophys Res Lett,37034393,37034393,35864893,False
Int J Supercomput Appl,11538365,11538365,11538365,False
HortScience,32296248,32296248,11542283,False
Soil Sci Soc Am J,37091965,37091965,34853488,False
Complicat Card Patient,11539715,11539715,11539714,False
Chem Mater,38883437,38883437,38828188,False
J Microcolumn Sep,11543387,11543387,11543387,False
J Quant Spectrosc Radiat Transf,36945203,36945203,29643568,False
IEEE Trans Image Process,38913511,38913511,38814771,False
Europhys Lett,31258239,31258239,19325933,False
Aerosol Sci Technol,38799182,38799182,35392279,False
New Yorker,21761596,21761596,11654450,False
Comput Vis Image Underst,37622168,37622168,31983868,False
CRC Crit Rev Plant Sci,33343063,33343063,33343063,False
Ecol Appl,38890813,38890813,38831569,False
Comput Graph,38645661,38645661,35637696,False
IEEE Trans Syst Man Cybern B Cybern,22736651,22736651,22147306,False
IEEE Trans Syst Man Cybern A Syst Hum,23853502,23853502,23853502,False
J Vac Sci Technol A,38328692,38328692,32226218,False
Physica D,38274029,38274029,24244060,False
Theor Chim Acta,11539836,11539836,11539836,False
Acta Astronaut,N/A,N/A,N/A,True
ASGSB Bull,11541302,11541302,11538553,False
J Phys Chem A,38916202,38916202,38898804,False
Int J Cogn Ergon,11543512,11543512,11543418,False
Medicographia,11539067,11539067,11539067,False
Int J Quantum Chem,36718482,36718482,36875794,False
Orbit,38913987,38913987,38323601,False
Comp Funct Genomics,23326209,23326209,22693426,False
For Pathol,36247020,36247020,27087782,False
Am Indian Cult Res J,35719739,35719739,25360056,False
J Black Stud,36710718,36710718,21117277,False
J Sci Study Relig,35950085,35950085,22148134,False
Newsl Br Soc Hist Sci,11620099,11620099,11609133,False
Zygon,32336872,32336872,15174443,False
Agric Hist,37675079,37675079,11623372,False
J South Afr Stud,30686854,30686854,18437773,False
Urban Soc Change Review,11636158,11636158,11633451,False
Nutr Hist Notes,11617836,11617836,11635476,False
Can J. Criminol,11651455,11651455,11651455,False
Watermark,18551799,18551799,18551799,False
Med Hist Aust,11620586,11620586,11615328,False
Libr Cult,17668519,17668519,11614875,False
ANQ,15290835,15290835,11616249,False
Conf Estud Hist Organ Cienc,11631812,11631812,11631812,False
Orbis,37397567,37397567,32834127,False
Medicamentum,11675715,11675715,11675715,False
Soc Sci Q,38737786,38737786,25076799,False
Demogr India,11616882,11616882,11616882,False
Technologia,11618200,11618200,11633364,False
Sigmund Freud House Bull,11635953,11635953,11635953,False
Int J Educ Dev,38620147,38620147,34518731,False
Shigaku Zasshi,18649437,18649437,18649437,False
Bull Hunt Inst Bot Doc,11837290,11837290,11639946,False
Int Soc Sci Rev,17099989,17099989,11617220,False
Environ Rev,11612592,11612592,11612082,False
Q J Econ,38911676,38911676,32981974,False
Armed Forces Soc,38603196,38603196,38603196,False
Emory Mag,11616933,11616933,11616933,False
J Polit Econ,37701370,37701370,11617448,False
Foreign Policy,11678100,11678100,11678100,False
Dev Change,36718282,36718282,22164882,False
Asian Surv,11616646,11616646,11616646,False
Adm Soc,38603342,38603342,11614137,False
Asian Profile,18389563,18389563,17876946,False
Bull Bibliogr,18050548,18050548,18050535,False
Wash Mon,11656049,11656049,11633544,False
Smithsonian,19035022,19035022,11635966,False
Nat Mus,11632586,11632586,11635446,False
Curr Hist,11631841,11631841,11631838,False
Huntingt Libr Q,18942222,18942222,11635171,False
Soc Econ Stud,11635970,11635970,11633184,False
Cap Chem,11616795,11616795,11616795,False
Biologist,26166834,26166834,11740077,False
Rev Univ Nac Cordoba,11633046,11633046,11633046,False
Prologue J Natl Arch,17876953,17876953,17607879,False
Proc Camb Philos Soc,11635564,11635564,11635564,False
J Polit,38106817,38106817,11617444,False
J Otto Rank Assoc,11635251,11635251,11635251,False
Ariel (Jerus),11634598,11634598,11634598,False
Ann Assoc Am Geogr,26985080,26985080,26339073,False
Ser Libr,11615144,11615144,11633154,False
Picturescope,11611976,11611976,11611976,False
Br Book News,11614275,11614275,11614275,False
Proc U S Nav Inst,11639418,11639418,11639418,False
Rend Accad Naz XL,11632843,11632843,11632843,False
Signs (Chic),37324651,37324651,21114082,False
Collections,21113327,21113327,11616846,False
Mentalities,11635382,11635382,11635382,False
Vet Historisch Genoot Cah,11636878,11636878,11619464,False
Argos,25029758,25029758,12056419,False
Pharmaziehist Forsch,11636602,11636602,11636602,False
Chronicle (Phila),11619591,11619591,11619591,False
Early Sci Med,29781591,29781591,26856050,False
Hist Workshop J,31404319,31404319,22206119,False
Windows Time,30248254,30248254,15630799,False
Newsl Soc Anc Med,11618984,11618984,11618580,False
Soc Anc Med Rev,11619717,11619717,11619717,False
MIMS Mag,11632576,11632576,11632574,False
Uisahak,38768994,38768994,33503642,False
Vesalius,29297218,29297218,29297216,False
Hist Cienc Saude Manguinhos,38896752,38896752,36542031,False
Mcgill Queens Hannah Inst Stud Hist Med Health Soc,11618571,11618571,11618571,False
Wiss Beitr Gesch Seelenheilkd,11636622,11636622,11636616,False
Monogr Quad Int Stor Med Sanita,11636465,11636465,11636465,False
Bull Soc Liban Hist Med,11619253,11619253,11619243,False
Med Nowozytna,19244737,19244737,17152880,False
Raspr Grada Povij Znan,11618335,11618335,11618335,False
Acta Salmant Hist Med,11636392,11636392,11636392,False
Z Med Psychol,11640813,11640813,11640813,False
Sozialgesch Med,11636463,11636463,11636463,False
Physis,21980215,21980215,21980215,False
Estud Hist Saude,11636571,11636571,11636565,False
Colecc Hist Cienc Salud,11636486,11636486,11636486,False
Hindsight,27290809,27290809,17575626,False
Cuad Complut Hist Med Cienc,11625030,11625030,11625017,False
Arch Hist Med Port,11631574,11631574,11631574,False
USAF Med Serv Dig,11614104,11614104,11614104,False
J Hist Sex,38260916,38260916,21748902,False
Hist Workshop,11618995,11618995,11611281,False
Can Soc Trends,11620136,11620136,11616786,False
Medicam Hist Soc,11638974,11638974,11636389,False
Rev Int Hist Psychanal,11640447,11640447,11640426,False
Hist Nurs Soc J,11639501,11639501,11616131,False
Mater Med Greca,11630923,11630923,11630921,False
Boll Osp Varese,11640620,11640620,11640619,False
Gewina,18447318,18447318,11640345,False
Bibl Stor Sci,11636473,11636473,11636473,False
Lege Artis Med,29537778,29537778,21469309,False
Butll Soc Amics Hist Cienc Farm Catalana,11630256,11630256,11625867,False
Kos,22332472,22332472,11636969,False
Tip Tarihi Arastirmalari,15487086,15487086,14598834,False
Pediatr Cerrahi Derg,11639915,11639915,11639915,False
Cad Casa Oswaldo Cruz,11636427,11636427,11636421,False
Cad Hist Saude,11636413,11636413,11636413,False
Configurations,27885317,27885317,21344739,False
Med Probl Perform Art,38814129,38814129,34079980,False
Health Can Soc,11623730,11623730,11623724,False
Med Emory,11614918,11614918,11614918,False
Conf Hist Med,11637061,11637061,11637056,False
Public Underst Sci,38863437,38863437,36718874,False
Med Vjesn (Osijek),25264399,25264399,11630475,False
Med Ges Gesch Beih,18354997,18354997,11618474,False
Mellen Hist Med,11639628,11639628,11639628,False
Hist Med Univ South Ala Coll Med,11614097,11614097,11614090,False
Penn Med,11630965,11630965,11630965,False
Luzif Amor,27281987,27281987,24988806,False
Med Ges Gesch,27263220,27263220,26137642,False
Borsuye,11639112,11639112,11636570,False
Screening,11615143,11615143,11615143,False
Med Tradic,11630903,11630903,11638743,False
Eur Hochschulschr VII Med B Gesch Med,11636450,11636450,11636418,False
Reihe Med Forsch,11636647,11636647,11636647,False
Therapeutikon,11636944,11636944,11636944,False
Wien Stud Med Gesch Philos,11636441,11636441,11636441,False
Beitr Gesch Med Nebengeb,11636462,11636462,11636462,False
Intus,11638381,11638381,11638381,False
Rev Am Hist,27116890,27116890,11623767,False
Rev Ordem Med,11631259,11631259,11631259,False
Res Pap Hist Med Assoc,12430561,12430561,12430561,False
Tractrix,11634248,11634248,11623095,False
20 Century Br Hist,31377787,31377787,31230077,False
Hist Comput,18217292,18217292,12227361,False
Hist Psychiatry,38877711,38877711,36964704,False
Med Soc (Berkeley),14674439,14674439,12852409,False
Hist Neurosci,11620420,11620420,11620420,False
Sci Context,38372156,38372156,31453791,False
Acta Med Cathol,11631335,11631335,11631335,False
Quad Raggruppamento Toscoumbroemiliano Stor Med,11631325,11631325,11631154,False
Stor Med Pop,11638441,11638441,11637914,False
Occas Pap Med Hist Aust,11619382,11619382,11619350,False
Riv Stor Sci,11637976,11637976,11621815,False
Acta Belg Hist Med,11636962,11636962,11622385,False
Nuncius,30358378,30358378,20506898,False
Newsl Soc Anc Med Pharm,11622705,11622705,11622705,False
Resena Hist,11637629,11637629,11637629,False
Quad Stor Med Sci,11631139,11631139,11631201,False
Arztl Kosmetol,11631623,11631623,11631623,False
Frenesie,11630033,11630033,11637600,False
Microscope,32704189,32704189,32704189,False
BNI Q,11613765,11613765,11613763,False
Am Herit Invent Technol,17992863,17992863,11616252,False
Chron R Coll Physicians Edinb,11613817,11613817,11613817,False
Rev Synth,38670540,38670540,25311892,False
Litt Med Soc,11638303,11638303,11638072,False
Analytica,11634518,11634518,11634518,False
Med Humanit Rev,17993084,17993084,11621455,False
Sci Soc Sante,11635938,11635938,11635938,False
Sci Can,22043659,22043659,11612361,False
Med Geogr Herit,11613962,11613962,11613957,False
Rev Int Hist Psychiatr,11637495,11637495,11637491,False
J Ophthalmic Photogr,11639542,11639542,11639541,False
AARC Times,11616669,11616669,11616669,False
Kunst Ther,11640544,11640544,11640544,False
Bull Can Hist Med,11621327,11621327,11621332,False
MAAS J Islam Sci,11618483,11618483,11613028,False
Dynamis,32076359,32076359,26012338,False
Quipu,18286751,18286751,11638444,False
Soemmering Forsch,11640672,11640672,11631186,False
Beitr Hochsch Wissenschaftsgesch Erfurts,11613978,11613978,11629654,False
Trans R Soc Can,17078148,17078148,11616409,False
Action Natl,12284395,12284395,12342156,False
Vet Herit,29144091,29144091,25241580,False
Med Herit,11613921,11613921,11620872,False
EOS,30713360,30713360,11538673,False
